epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2485,1.20074,0.7922,0.01422,0.83699,0.81737,0.8822,0.53815,1.38979,0.74232,0.018,0.00126168,0.00126168,0.00126168
94,2511.18,1.19615,0.78184,0.01437,0.88956,0.83408,0.89727,0.52838,1.46797,0.7222,0.01903,0.00124798,0.00124798,0.00124798
95,2537.26,1.19472,0.7945,0.01414,0.88779,0.816,0.88377,0.53386,1.43138,0.67818,0.01965,0.00123423,0.00123423,0.00123423
96,2563.18,1.20368,0.77195,0.01422,0.877,0.80717,0.89156,0.53408,1.40278,0.7432,0.01787,0.00122044,0.00122044,0.00122044
97,2589.25,1.18857,0.78969,0.01444,0.90726,0.77803,0.88058,0.52529,1.44883,0.80509,0.01886,0.0012066,0.0012066,0.0012066
98,2615.32,1.20819,0.82081,0.01409,0.89335,0.78475,0.87884,0.53329,1.39095,0.77297,0.01785,0.00119273,0.00119273,0.00119273
99,2641.32,1.20093,0.75996,0.01447,0.85883,0.79112,0.86621,0.52187,1.40261,0.81103,0.01829,0.00117882,0.00117882,0.00117882
100,2667.56,1.16636,0.7821,0.01396,0.86964,0.81614,0.88319,0.54407,1.41948,0.75205,0.01798,0.00116487,0.00116487,0.00116487
101,2693.46,1.17225,0.79685,0.01449,0.89563,0.76682,0.88434,0.5266,1.4093,0.74722,0.01808,0.00115089,0.00115089,0.00115089
102,2719.73,1.17356,0.79463,0.01362,0.89566,0.80045,0.88351,0.54071,1.38522,0.70827,0.01789,0.00113688,0.00113688,0.00113688
103,2745.76,1.18108,0.8082,0.01353,0.89564,0.80818,0.89489,0.5322,1.43559,0.73593,0.01891,0.00112285,0.00112285,0.00112285
104,2771.74,1.18173,0.77474,0.01388,0.89593,0.80717,0.88281,0.54112,1.39701,0.78478,0.01811,0.0011088,0.0011088,0.0011088
105,2797.86,1.17623,0.768,0.01399,0.87831,0.8253,0.89504,0.54028,1.44504,0.7033,0.01884,0.00109472,0.00109472,0.00109472
106,2823.95,1.15699,0.74684,0.01345,0.91868,0.78251,0.89427,0.53955,1.43598,0.73212,0.01826,0.00108063,0.00108063,0.00108063
107,2850.19,1.15969,0.7396,0.01345,0.89591,0.81839,0.90213,0.53987,1.42677,0.70092,0.01841,0.00106652,0.00106652,0.00106652
108,2876.34,1.15787,0.78388,0.01352,0.91038,0.82063,0.89909,0.54418,1.41167,0.70679,0.01812,0.0010524,0.0010524,0.0010524
109,2902.57,1.16932,0.76657,0.01388,0.91242,0.81759,0.90074,0.55308,1.364,0.70106,0.01764,0.00103827,0.00103827,0.00103827
110,2928.66,1.17698,0.76557,0.01421,0.89544,0.80644,0.89189,0.53333,1.46003,0.73848,0.0197,0.00102414,0.00102414,0.00102414
111,2954.71,1.1493,0.75074,0.01356,0.91937,0.80717,0.89449,0.54059,1.42874,0.73098,0.01801,0.00101,0.00101,0.00101
